MSUSAM,MSUTDK,MSSWIT,MSJPAN,MSCNDA,MSAUST,MSNZEA,MSSWDN,MSNWAY,MSDNMK,MSGERM,MSITAL,MSFRNC,MSNETH,MSBELG,MSFIND,MSEIRE,MSHGKG,MSSARF,MSSING,MSASTR,MSINDI,MSINDF,MSMALF,MSMEXF,MSPHLF,MSPLND,MSPORD,MSKORE,MSSPAN,MSTAIW,MSTHAF,MSBRAZ,MSISRL
3099.36,4370.304,5257.38,3449.814,1729.323,1080.842,175.995,8453.808,3254.872,5513.722,3108.863,892.523,3240.971,8931.77,6676.108,323.027,489.91,14234.918,239.806,3239.738,2174.949,118.256,187.383,213.137,1808.201,356.276,549.947,229.634,64.229,2128.765,352.244,164.26,1463.526,120.795
3136.193,4379.814,5231.906,3436.352,1738.194,1065.601,176.215,8874.721,3433.224,5283.041,3224.75,874.571,3347.429,9241.94,7136.349,382.346,529.117,12729.687,260.815,3031.675,2361.669,120.726,164.003,179.618,1848.862,320.97,604.169,247.454,62.566,2193.455,319.047,148.231,1405.776,120.806
3073.75,4218.125,5457.905,3247.981,1717.668,1005.075,164.644,9148.445,3160.178,5432.523,3484.611,920.175,3522.303,9731.716,7572.138,376.602,506.238,10992.932,229.555,2502.996,2496.988,106.968,107.892,148.224,1600.753,309.9,530.513,242.234,47.004,2211.255,289.011,107.607,1186.732,129.37
3206.355,4283.102,5460.558,3294.09,1648.979,1008.029,143.696,9094.714,3052.772,5314.273,3631.596,874.769,3605.62,9570.141,8128.861,399.397,504.44,10410.386,176.114,2184.809,2317.85,93.66,88.953,114.865,1501.891,253.391,535.053,224.325,42.632,2220.697,271.038,77.847,1141.792,127.75
3175.11,4197.39,5861.54,3251.192,1532.267,1002.528,156.078,9056.457,3100.898,5474.348,3719.183,962.71,3643.219,9632.018,8535.021,444.956,493.559,9638.964,173.092,2163.757,2355.226,92.654,113.127,102.61,1483.368,228.95,579.464,242.943,55.783,2347.969,266.513,81.598,1253.497,125.864
2733.618,3893.325,4945.294,2880.931,1198.752,867.472,124.808,7674.776,2240.689,4861.044,3109.223,826.649,3226.73,8451.974,7905.249,358.242,424.412,8994.788,120.276,1736.332,1940.042,84.918,86.704,74.248,975.303,166.809,377.689,209.831,46.559,1840.624,221.424,60.646,781.82,110.608
2913.732,3813.977,4518.151,2802.783,1230.228,925.419,117.599,7009.933,2153.338,4646.31,3069.687,789.083,3016.323,7963.312,7751.837,377.813,435.764,10472.45,141.832,1965.728,1736.097,89.084,64.071,69.209,1161.979,188.751,392.748,191.108,45.408,1804.882,240.132,82.744,815.629,107.125
3139.696,4046.441,5175.858,3273.388,1355.3,1005.389,133.385,7461.314,2516.474,5001.679,3198.992,840.653,3328.902,8420.322,8296.947,423.839,460.372,13952.144,169.419,2431.51,1950.779,82.356,99.685,76.404,1301.408,270.651,428.679,222.691,59.825,2097.399,270.984,114.673,848.43,101.916
3353.374,4227.302,5433.324,3423.598,1405.61,1068.515,141.517,8173.545,2346.778,4763.287,3365.556,927.684,3539.045,8865.818,8569.144,453.403,485.237,13928.716,162.78,2792.345,1851.93,80.875,153.732,96.107,1221.238,308.874,401.244,215.453,71.031,2245.225,288.521,133.176,997.352,109.414
3551.723,4360.876,5611.357,3556.672,1421.894,1061.046,142.159,8051.552,2231.919,5242.207,3450.013,1004.06,3686.389,9631.268,9540.314,535.768,536.644,13685.53,148.655,2758.001,1882.412,87.63,144.515,113.645,1283.802,299.659,432.485,221.214,97.354,2318.636,257.427,127.796,820.139,112.071
3705.311,4315.792,5481.827,3583.038,1540.284,1125.754,156.397,8530.783,2464.519,5058.54,3508.098,951.814,3794.455,8912.237,9240.77,591.369,545.676,12774.699,157.092,2769.881,1770.642,98.09,139.978,115.385,1267.457,296.717,506.77,230.063,100.613,2279.981,249.82,130.845,590.151,115.157
3601.942,4411.597,5305.303,3504.969,1453.051,1097.993,156.749,8328.604,2240.507,4624.37,3219.623,938.19,3546.847,8855.113,8826.475,558.013,544.501,12901.947,156.31,2736.137,1869.608,94.806,134.161,127.097,1391.873,298.69,406.05,214.52,89.294,2237.09,261.812,118.393,632.676,117.749
3751.828,4549.163,5248.037,3991.689,1513.467,1144.93,153.338,8496.307,2461.692,4546.636,3133.53,974.808,3613.631,8950.501,8328.368,632.677,535.283,14594.619,168.184,3040.316,1864.759,110.748,137.545,117.634,1652.878,314.321,442.46,200.119,105.315,2154.957,287.198,125.474,865.373,130.488
3887.652,4725.191,5236.044,4158.875,1667.953,1263.019,177.764,8981.594,2659.612,4878.159,3338.129,945.844,3709.413,9525.131,8063.158,628.448,550.032,17849.691,188.329,3762.997,1944.853,96.985,192.019,163.444,1847.679,389.633,498.527,187.783,133.297,2165.877,312.259,179.72,970.581,131.341
3797.28,4463.555,4973.276,3925.02,1622.609,1160.05,148.308,8793.437,2512.687,4743.652,3136.296,895.42,3624.219,8984.076,7618.972,594.905,486.85,16420.134,168.166,3819.595,1702.301,115.194,232.487,182.366,1800.944,369.437,502.522,191.889,133.561,2158.907,299.271,172.188,934.949,135.6
4001.631,4475.278,4893.621,4297.07,1690.761,1218.619,153.304,9643.58,2470.434,4798.009,3311.709,875.222,3734.384,9014.27,7712.811,689.854,475.723,17990.706,193.515,4423.415,1779.015,119.932,304.833,201.69,1955.315,381.471,565.947,181.659,173.177,2170.289,366.209,202.256,973.741,140.701
3872.025,4543.129,5088.437,4726.64,1703.529,1218.528,159.552,10035.81,2578.048,5135.76,3259.876,847.393,3755.485,9308.544,7799.748,701.403,495.345,17411.915,187.162,4484.346,1790.011,133.047,263.402,192.471,1767.474,344.592,580.88,186.053,180.232,2076.072,322.251,176.536,878.249,136.417
3847.674,4525.544,5084.491,4694.197,1676.499,1150.764,153.576,9993.769,2682.635,5153.142,3317.514,866.465,3893.108,9528.765,8198.209,677.073,487.617,17571.466,185.102,4470.236,1793.327,145.408,223.83,224.741,1709.639,312.323,567.568,181.038,183.654,2128.489,361.931,171.304,843.939,124.151
3733.527,4452.511,5074.386,4979.592,1725.473,1156.238,142.648,9933.525,2742.028,5311.449,3274.002,884.447,3934.245,9187.078,7954.237,717.041,467.112,16869.091,187.682,4396.37,1699.502,145.315,197.887,195.762,1687.006,291.234,445.952,178.117,156.555,2098.865,338.075,137.615,887.607,127.148
3977.809,4582.631,5168.779,5193.63,1842.08,1130.239,145.338,11077.441,2609.814,5381.941,3452.416,857.501,4152.223,9507.389,7923.618,859.543,455.093,17752.646,196.019,4625.48,1679.501,135.031,265.932,221.514,1776.861,296.419,460.276,181.643,158.477,2124.003,349.766,156.736,917.902,134.731
4063.205,4639.187,5130.984,5416.895,1916.881,1191.044,149.522,12270.15,2676.041,5567.875,3549.409,878.21,4290.38,9450.91,7695.623,1040.12,460.693,20057.478,205.618,4909.384,1605.018,143.462,233.121,219.011,2026.336,282.598,477.933,183.473,193.063,2307.691,353.339,163.928,1090.464,150.546
4346.659,4903.816,5241.525,5753.649,2195.339,1259.14,162.481,14540.936,2955.724,5895.919,4158.332,1005.974,4780.992,10347.337,8228.562,1357.285,468.849,21831.619,233.692,5499.45,1719.457,164.174,279.576,243.58,2311.724,309.613,568.732,202.512,187.324,2440.925,393.125,188.064,1371.538,178.952
4113.942,4454.719,4667.493,5505,2202.675,1214.671,142.932,14651.266,2720.651,5579.886,4014.758,954.66,4465.643,9115.79,6696.331,1358.358,442.926,20173.284,227.346,4767.785,1569.352,181.829,244.806,279.792,2076.829,282.771,590.387,200.436,189.81,2251.987,457.403,182.756,1313.643,180.027
4016.239,4314.066,4565.484,5362.813,2334.68,1186.914,136.837,18007.722,2725.615,5785.305,4435.271,1071.749,4866.925,9701.302,6413.349,1474.888,431.445,21359.109,221.051,4339.186,1497.085,215.128,222.06,300.415,2360.86,237.794,679.424,223.611,162.698,2477.687,437.873,140.953,1369.221,228.452
4417.244,4631.975,4936.468,5805.619,2543.835,1177.435,142.247,17128.782,2748.818,6320.649,4365.176,1004.684,4921.15,9989.361,6430.282,1515.243,460.222,21933.701,210.211,4345.172,1535.586,193.045,220.045,297.808,2416.063,235.19,676.696,206.705,182.746,2473.983,454.881,155.674,1422.796,207.047
